timestamp_ms,mac,rssi,location
etimestamp,mac,rssi,bijuOffice
273010,00:A3:8E:60:EB:E1,-69,bijuOffice
273010,00:A3:8E:67:4C:81,-73,bijuOffice
273010,00:27:E3:29:CD:E0,-75,bijuOffice
273010,00:A3:8E:60:F3:80,-86,bijuOffice
273010,70:EA:1A:22:A9:41,-87,bijuOffice
273010,0C:75:BD:12:BF:A0,-89,bijuOffice
277823,00:A3:8E:60:EB:E1,-66,bijuOffice
277823,00:27:E3:29:CD:E0,-71,bijuOffice
277823,00:A3:8E:67:4C:81,-75,bijuOffice
277823,70:EA:1A:22:A9:41,-87,bijuOffice
282626,00:A3:8E:60:EB:E1,-50,bijuOffice
282626,00:27:E3:29:CD:E0,-69,bijuOffice
282626,00:A3:8E:67:4C:81,-80,bijuOffice
282626,00:A3:8E:60:F3:80,-87,bijuOffice
287229,00:A3:8E:60:EB:E1,-62,bijuOffice
287229,00:A3:8E:67:4C:81,-84,bijuOffice
287229,00:A3:8E:60:F3:80,-85,bijuOffice
292021,00:A3:8E:60:EB:E1,-63,bijuOffice
292021,00:27:E3:29:CD:E0,-74,bijuOffice
292021,00:A3:8E:60:F3:80,-82,bijuOffice
292021,00:A3:8E:67:4C:81,-84,bijuOffice
296824,00:A3:8E:60:EB:E1,-63,bijuOffice
296824,00:27:E3:29:CD:E0,-74,bijuOffice
296824,00:A3:8E:67:4C:81,-81,bijuOffice
296824,00:A3:8E:60:F3:80,-84,bijuOffice
301627,00:A3:8E:60:EB:E1,-60,bijuOffice
301627,00:27:E3:29:CD:E0,-75,bijuOffice
301627,00:A3:8E:60:F3:80,-81,bijuOffice
301627,00:A3:8E:67:4C:81,-81,bijuOffice
306430,00:A3:8E:60:EB:E1,-67,bijuOffice
306430,00:27:E3:29:CD:E0,-75,bijuOffice
306430,00:A3:8E:67:4C:81,-81,bijuOffice
306430,00:A3:8E:60:F3:80,-84,bijuOffice
306430,70:EA:1A:22:A9:41,-87,bijuOffice
311233,00:A3:8E:60:EB:E1,-65,bijuOffice
311233,00:27:E3:29:CD:E0,-67,bijuOffice
311233,00:A3:8E:67:4C:81,-80,bijuOffice
311233,70:EA:1A:22:A9:41,-84,bijuOffice
311233,00:A3:8E:60:F3:80,-85,bijuOffice
311233,0C:75:BD:12:BF:A0,-85,bijuOffice
316046,00:A3:8E:67:4C:81,-67,bijuOffice
316046,00:27:E3:29:CD:E0,-79,bijuOffice
316046,70:EA:1A:22:A9:41,-82,bijuOffice
316046,00:A3:8E:60:EB:E1,-82,bijuOffice
316046,08:4F:A9:2D:77:41,-83,bijuOffice
316046,00:27:E3:29:E8:80,-85,bijuOffice
316046,70:EA:1A:22:9B:81,-86,bijuOffice
320859,00:A3:8E:67:4C:81,-66,bijuOffice
320859,70:EA:1A:22:A9:41,-80,bijuOffice
320859,08:4F:A9:2D:77:41,-80,bijuOffice
320859,00:A3:8E:60:F3:80,-86,bijuOffice
320859,70:EA:1A:22:9B:81,-86,bijuOffice
320859,00:27:E3:29:E8:80,-86,bijuOffice
320859,00:A3:8E:65:44:00,-86,bijuOffice
320859,08:4F:A9:39:6A:41,-87,bijuOffice
325672,00:A3:8E:67:4C:81,-74,bijuOffice
325672,00:27:E3:29:E8:80,-76,bijuOffice
325672,70:EA:1A:22:A9:41,-82,bijuOffice
325672,08:4F:A9:39:6A:41,-86,bijuOffice
325672,70:EA:1A:22:9B:81,-86,bijuOffice
325672,08:4F:A9:2D:77:41,-89,bijuOffice
330485,00:A3:8E:67:4C:81,-70,bijuOffice
330485,70:EA:1A:22:A9:41,-77,bijuOffice
330485,00:27:E3:29:E8:80,-83,bijuOffice
330485,00:27:E3:29:CD:E0,-85,bijuOffice
330485,08:4F:A9:39:6A:41,-86,bijuOffice
330485,70:EA:1A:22:9B:81,-86,bijuOffice
330485,00:A3:8E:60:F3:80,-88,bijuOffice
335299,00:A3:8E:67:4C:81,-74,bijuOffice
335299,00:27:E3:29:E8:80,-79,bijuOffice
335299,70:EA:1A:22:A9:41,-80,bijuOffice
335299,70:EA:1A:22:9B:81,-83,bijuOffice
335299,08:4F:A9:2D:77:41,-87,bijuOffice
335299,00:A3:8E:60:EB:E1,-88,bijuOffice
340112,00:A3:8E:67:4C:81,-68,bijuOffice
340112,00:27:E3:29:E8:80,-78,bijuOffice
340112,00:A3:8E:60:EB:E1,-79,bijuOffice
340112,00:A3:8E:60:F3:80,-83,bijuOffice
340112,00:27:E3:29:CD:E0,-83,bijuOffice
340112,00:A3:8E:65:44:00,-84,bijuOffice
340112,70:EA:1A:22:A9:41,-85,bijuOffice
340112,70:EA:1A:65:2E:A1,-88,bijuOffice
344925,70:EA:1A:22:A9:41,-76,bijuOffice
344925,00:27:E3:29:E8:80,-76,bijuOffice
344925,00:A3:8E:67:4C:81,-77,bijuOffice
344925,08:4F:A9:39:6A:41,-88,bijuOffice
344925,00:A3:8E:60:F3:80,-88,bijuOffice
344925,70:EA:1A:22:9B:81,-88,bijuOffice
344925,00:A3:8E:65:44:00,-88,bijuOffice
344925,08:4F:A9:2D:77:41,-89,bijuOffice
349739,00:A3:8E:67:4C:81,-76,bijuOffice
349739,70:EA:1A:22:A9:41,-80,bijuOffice
349739,00:27:E3:29:E8:80,-83,bijuOffice
349739,08:4F:A9:39:6A:41,-84,bijuOffice
349739,00:27:E3:29:CE:40,-84,bijuOffice
349739,00:A3:8E:60:F3:80,-85,bijuOffice
349739,00:27:E3:29:CD:E0,-86,bijuOffice
349739,00:A3:8E:65:44:00,-86,bijuOffice
349739,70:EA:1A:22:9B:81,-87,bijuOffice
354562,00:27:E3:29:E8:80,-76,bijuOffice
354562,70:EA:1A:22:A9:41,-76,bijuOffice
354562,00:A3:8E:67:4C:81,-77,bijuOffice
354562,08:4F:A9:39:6A:41,-87,bijuOffice
354562,00:A3:8E:65:44:00,-87,bijuOffice
354562,00:A3:8E:60:F3:80,-88,bijuOffice
354562,70:EA:1A:22:9B:81,-89,bijuOffice
359375,00:A3:8E:67:4C:81,-77,bijuOffice
359375,70:EA:1A:22:A9:41,-79,bijuOffice
359375,00:27:E3:29:E8:80,-80,bijuOffice
359375,08:4F:A9:39:6A:41,-86,bijuOffice
359375,00:A3:8E:65:44:00,-87,bijuOffice
364178,00:A3:8E:67:4C:81,-71,bijuOffice
364178,70:EA:1A:22:A9:41,-75,bijuOffice
364178,00:27:E3:29:E8:80,-79,bijuOffice
364178,00:A3:8E:60:F3:80,-84,bijuOffice
364178,08:4F:A9:2D:77:41,-85,bijuOffice
364178,00:A3:8E:65:44:00,-86,bijuOffice
364178,08:4F:A9:39:6A:41,-87,bijuOffice
364178,00:27:E3:29:CE:40,-87,bijuOffice
364178,00:A3:8E:60:EB:E1,-88,bijuOffice
364178,70:EA:1A:65:2E:A1,-88,bijuOffice
369001,00:A3:8E:67:4C:81,-75,bijuOffice
369001,70:EA:1A:22:A9:41,-79,bijuOffice
369001,00:27:E3:29:E8:80,-79,bijuOffice
369001,00:A3:8E:60:EB:E1,-81,bijuOffice
369001,00:A3:8E:65:44:00,-83,bijuOffice
369001,00:A3:8E:60:F3:80,-85,bijuOffice
369001,00:27:E3:29:CD:E0,-85,bijuOffice
369001,00:27:E3:29:CE:40,-87,bijuOffice
369001,70:EA:1A:65:2E:A1,-88,bijuOffice
373825,00:A3:8E:60:EB:E1,-75,bijuOffice
373825,00:A3:8E:67:4C:81,-76,bijuOffice
373825,00:27:E3:29:E8:80,-76,bijuOffice
373825,70:EA:1A:22:A9:41,-78,bijuOffice
373825,00:A3:8E:65:44:00,-83,bijuOffice
373825,00:27:E3:29:CD:E0,-85,bijuOffice
373825,00:A3:8E:60:F3:80,-86,bijuOffice
373825,00:27:E3:29:CE:40,-87,bijuOffice
373825,08:4F:A9:2D:77:41,-89,bijuOffice
378648,00:A3:8E:67:4C:81,-60,bijuOffice
378648,00:27:E3:29:CD:E0,-76,bijuOffice
378648,00:A3:8E:60:EB:E1,-80,bijuOffice
378648,00:A3:8E:60:F3:80,-83,bijuOffice
378648,08:4F:A9:2D:77:41,-88,bijuOffice
383451,00:A3:8E:67:4C:81,-70,bijuOffice
383451,00:A3:8E:60:EB:E1,-73,bijuOffice
383451,00:27:E3:29:CD:E0,-75,bijuOffice
383451,00:A3:8E:60:F3:80,-83,bijuOffice
383451,08:4F:A9:2D:77:41,-87,bijuOffice
388254,00:A3:8E:67:4C:81,-67,bijuOffice
388254,00:A3:8E:60:EB:E1,-73,bijuOffice
388254,00:27:E3:29:CD:E0,-76,bijuOffice
388254,00:A3:8E:60:F3:80,-84,bijuOffice
388254,08:4F:A9:2D:77:41,-88,bijuOffice
