"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.458898960E-1,-1.399410844E0,2.323572636E0,9.349956512E0,9.735452084E0
6.484019790E-1,-1.385045648E0,2.318784237E0,9.359533310E0,9.741456542E0
6.509140620E-1,-1.375468850E0,2.333149672E0,9.369110107E0,9.752729164E0
6.534261460E-1,-1.380257249E0,2.366668463E0,9.349956512E0,9.743095836E0
6.559382810E-1,-1.389834046E0,2.385822058E0,9.311649323E0,9.712394075E0
6.584504680E-1,-1.394622445E0,2.433706045E0,9.268553734E0,9.683696876E0
6.609627600E-1,-1.399410844E0,2.457648039E0,9.254188538E0,9.676693138E0
6.634752080E-1,-1.389834046E0,2.486378431E0,9.225458145E0,9.655195201E0
6.659878120E-1,-1.394622445E0,2.529474020E0,9.201516151E0,9.644226774E0
6.685005730E-1,-1.423352957E0,2.562992811E0,9.187150002E0,9.643577704E0
6.710135410E-1,-1.442506552E0,2.601300240E0,9.187150002E0,9.656671955E0
6.735267180E-1,-1.476025343E0,2.639607430E0,9.201516151E0,9.685766757E0
6.760400520E-1,-1.528697729E0,2.673126221E0,9.235034943E0,9.734905800E0
6.785535410E-1,-1.552639842E0,2.716221809E0,9.254188538E0,9.768754111E0
6.810671350E-1,-1.600523829E0,2.744952202E0,9.306860924E0,9.834332686E0
6.835807290E-1,-1.653196216E0,2.783259392E0,9.364321709E0,9.908083146E0
6.860942180E-1,-1.729810715E0,2.807201385E0,9.407417297E0,9.968556813E0
6.886065620E-1,-1.782483220E0,2.859874010E0,9.445724487E0,1.002885023E1
6.911186980E-1,-1.854309201E0,2.883816004E0,9.455301285E0,1.005771245E1
6.936308330E-1,-1.897404790E0,2.926911592E0,9.479243279E0,1.010064402E1
6.961430210E-1,-1.892616391E0,2.931699991E0,9.555857658E0,1.017306626E1
6.986552600E-1,-1.777694821E0,2.926911592E0,9.694721222E0,1.028176200E1
7.011676040E-1,-1.725022316E0,2.941276789E0,9.804854393E0,1.038084683E1
7.036800520E-1,-1.715445518E0,2.950853586E0,9.766547203E0,1.034580758E1
7.061926040E-1,-1.744175911E0,2.974795580E0,9.689932823E0,1.028524946E1
7.087052600E-1,-1.758541107E0,2.984372377E0,9.632472038E0,1.023637938E1
7.112180210E-1,-1.787271619E0,2.979583979E0,9.575011253E0,1.018592662E1
7.137308850E-1,-1.811213613E0,2.955641985E0,9.507973671E0,1.012017182E1
7.162438020E-1,-1.844732404E0,2.946065187E0,9.450512886E0,1.006948517E1
7.187567710E-1,-1.878251195E0,2.883816004E0,9.369110107E0,9.981204662E0
7.212697910E-1,-1.897404790E0,2.826355219E0,9.321226120E0,9.923390809E0
7.237828120E-1,-1.921346903E0,2.773682594E0,9.302072525E0,9.895122148E0
7.262958330E-1,-1.921346903E0,2.692279816E0,9.292495728E0,9.863590694E0
7.288085410E-1,-1.902193308E0,2.644395828E0,9.287707329E0,9.842391788E0
7.313211460E-1,-1.878251195E0,2.591723442E0,9.258976936E0,9.796607161E0
7.338337500E-1,-1.854309201E0,2.529474020E0,9.258976936E0,9.775753441E0
7.363463540E-1,-1.820790410E0,2.481590033E0,9.235034943E0,9.734445911E0
7.388589580E-1,-1.806425214E0,2.443282843E0,9.206304550E0,9.694784504E0
7.413711460E-1,-1.782483220E0,2.395398855E0,9.196727753E0,9.669280400E0
7.438830210E-1,-1.696291924E0,2.347514868E0,9.249400139E0,9.692246142E0
7.463947910E-1,-1.610100627E0,2.285265446E0,9.316437721E0,9.726812119E0
7.489065620E-1,-1.523909330E0,2.242169857E0,9.359533310E0,9.744254158E0
7.514183330E-1,-1.480813742E0,2.203862667E0,9.354744911E0,9.724251763E0
7.539301040E-1,-1.432929754E0,2.189497471E0,9.359533310E0,9.718438693E0
7.564419270E-1,-1.418564558E0,2.165555477E0,9.369110107E0,9.720194449E0
7.589538020E-1,-1.389834046E0,2.127248287E0,9.364321709E0,9.702955478E0
7.614657290E-1,-1.389834046E0,2.088941097E0,9.359533310E0,9.690003992E0
7.639777080E-1,-1.385045648E0,2.069787264E0,9.369110107E0,9.694462077E0
7.664897390E-1,-1.385045648E0,2.026691675E0,9.354744911E0,9.671457126E0
7.690018750E-1,-1.399410844E0,1.993172884E0,9.326014519E0,9.638756956E0
7.715141140E-1,-1.394622445E0,1.945288897E0,9.273342133E0,9.577264482E0
7.740264580E-1,-1.399410844E0,1.897404790E0,9.172784805E0,9.470927976E0
7.765389580E-1,-1.418564558E0,1.859097600E0,9.120112419E0,9.415148423E0
7.790515620E-1,-1.442506552E0,1.844732404E0,9.043498039E0,9.341772828E0
