timestamp_ms,az,label
20900,10.08,stairs
20920,11.15,stairs
20940,10.43,stairs
20960,9.99,stairs
20980,10.16,stairs
21000,10.64,stairs
21020,10.35,stairs
21040,10.65,stairs
21060,10.5,stairs
21080,10.73,stairs
21100,11.26,stairs
21120,10.6,stairs
21140,10.75,stairs
21160,11.05,stairs
21180,10.62,stairs
21200,11.72,stairs
21220,10.77,stairs
21240,10.44,stairs
21260,12.47,stairs
21280,10.41,stairs
21300,13.33,stairs
21320,10.22,stairs
21340,13.84,stairs
21360,10.22,stairs
21380,9.28,stairs
21400,14.19,stairs
21420,8.94,stairs
21440,10.28,stairs
21460,10.27,stairs
21480,14.01,stairs
21500,8.59,stairs
21520,10.34,stairs
21540,13.57,stairs
21560,8.49,stairs
21580,10.42,stairs
21600,12.93,stairs
21620,8.33,stairs
21640,12.33,stairs
21660,10.16,stairs
21680,8.13,stairs
21700,9.97,stairs
21720,8.15,stairs
21740,11.4,stairs
21760,8.15,stairs
21780,10.39,stairs
21800,9.54,stairs
21820,8.11,stairs
21840,9.11,stairs
21860,9.86,stairs
21880,8.86,stairs
21900,8.26,stairs
21920,9.89,stairs
21940,8.64,stairs
21960,9.99,stairs
21980,8.76,stairs
22000,9.81,stairs
22020,8.95,stairs
22040,8.59,stairs
22060,9.49,stairs
22080,9.03,stairs
22100,8.37,stairs
22120,8.52,stairs
22140,9.49,stairs
22160,9.05,stairs
22180,9.28,stairs
22200,8.76,stairs
22220,9.71,stairs
22240,8.72,stairs
22260,9.61,stairs
22280,9.81,stairs
22300,8.57,stairs
22320,9.66,stairs
22340,9.8,stairs
22360,9.49,stairs
22380,8.43,stairs
22400,10.11,stairs
22420,9.49,stairs
22440,10.25,stairs
22460,8.45,stairs
22480,9.55,stairs
22500,10.81,stairs
22520,8.18,stairs
22540,12.04,stairs
22560,7.83,stairs
22580,9.56,stairs
22600,8.09,stairs
22620,9.18,stairs
22640,11.65,stairs
22660,8.82,stairs
22680,9.03,stairs
22700,11.8,stairs
22720,12.54,stairs
22740,9.25,stairs
22760,9.28,stairs
22780,13.39,stairs
22800,9.49,stairs
22820,9.47,stairs
22840,9.83,stairs
22860,13.64,stairs
22880,9.46,stairs
22900,10.42,stairs
22920,9.2,stairs
22940,12.38,stairs
22960,9.11,stairs
22980,13.65,stairs
23000,10.94,stairs
23020,9.43,stairs
23040,13.88,stairs
23060,11.58,stairs
23080,9.36,stairs
23100,13.26,stairs
23120,12.34,stairs
23140,9.38,stairs
23160,12.64,stairs
23180,11.96,stairs
23200,13.04,stairs
23220,9.25,stairs
23240,10.69,stairs
23260,9.42,stairs
23280,12.79,stairs
23300,10.12,stairs
23320,10.14,stairs
23340,9.75,stairs
23360,12.27,stairs
23380,9.79,stairs
23400,10.7,stairs
23420,11.93,stairs
23440,10.01,stairs
23460,10.62,stairs
23480,12.45,stairs
23500,10.06,stairs
23520,10.13,stairs
23540,13.35,stairs
23560,10.09,stairs
23580,14.33,stairs
23600,10.12,stairs
23620,14.35,stairs
23640,9.64,stairs
23660,9.97,stairs
23680,13.65,stairs
23700,9.77,stairs
23720,9.05,stairs
23740,12.89,stairs
23760,8.68,stairs
23780,9.85,stairs
23800,12.31,stairs
23820,8.44,stairs
23840,10.11,stairs
23860,11.97,stairs
23880,10.23,stairs
23900,8.37,stairs
23920,8.42,stairs
23940,11.46,stairs
23960,10.09,stairs
23980,11.06,stairs
24000,10.0,stairs
24020,8.44,stairs
24040,10.5,stairs
24060,8.56,stairs
24080,10.32,stairs
24100,9.86,stairs
24120,10.78,stairs
24140,8.49,stairs
24160,9.43,stairs
24180,8.38,stairs
24200,11.38,stairs
24220,9.17,stairs
24240,8.43,stairs
24260,11.99,stairs
24280,11.98,stairs
24300,8.82,stairs
24320,8.84,stairs
24340,8.94,stairs
24360,9.31,stairs
24380,11.37,stairs
24400,8.96,stairs
24420,11.7,stairs
24440,9.78,stairs
24460,9.89,stairs
24480,13.03,stairs
24500,8.97,stairs
24520,13.38,stairs
24540,9.68,stairs
24560,9.08,stairs
24580,9.63,stairs
24600,8.91,stairs
24620,13.89,stairs
24640,9.78,stairs
24660,9.02,stairs
24680,13.15,stairs
24700,9.18,stairs
24720,12.54,stairs
24740,9.89,stairs
24760,12.25,stairs
24780,10.25,stairs
24800,9.59,stairs
24820,10.25,stairs
24840,11.44,stairs
24860,10.76,stairs
24880,10.27,stairs
24900,10.65,stairs
24920,11.55,stairs
24940,9.98,stairs
24960,9.99,stairs
24980,12.0,stairs
25000,10.1,stairs
25020,10.06,stairs
25040,12.26,stairs
25060,10.31,stairs
25080,10.35,stairs
25100,12.11,stairs
25120,10.32,stairs
25140,10.69,stairs
25160,12.14,stairs
25180,10.26,stairs
25200,10.91,stairs
25220,12.75,stairs
25240,13.11,stairs
25260,10.38,stairs
25280,10.61,stairs
25300,13.42,stairs
25320,10.61,stairs
25340,9.87,stairs
25360,9.39,stairs
25380,13.64,stairs
25400,11.15,stairs
25420,11.71,stairs
